"Country","City","AQI.Value","CO.AQI.Value","Ozone.AQI.Value","NO2.AQI.Value","PM2.5.AQI.Value","Latitude","Longitude"
"Turkey","Denizli",50,1,40,1,50,37.7827875,29.0966476
"China","Dinghai",139,3,135,1,139,30.0215992,122.1025956
"Russian Federation","Dobryanka",42,1,25,2,42,58.4624764,56.4007589
"Czechia","Olomouc",52,1,26,2,52,49.5940567,17.251143
"Colombia","Orito",38,1,3,2,38,0.6686314,-76.8749187
"India","Paithan",120,1,34,0,120,19.4733594,75.3868103
"Hungary","Papa",73,1,29,3,73,47.3261087,17.4705293
"France","Papeete",32,0,32,0,13,-17.5373835,-149.5659964
"Brazil","Peabiru",13,1,9,0,13,-23.9142123,-52.3455598
"India","Peddapalli",140,1,38,0,140,18.6177235,79.3868069
"United States of America","Pendleton",30,1,22,4,30,45.672075,-118.7885967
"Russian Federation","Perm",44,1,25,2,44,58.014965,56.246723
"Mexico","Pinotepa Nacional",50,1,16,3,50,16.3408936,-98.0586021
"France","Plaisir",31,1,29,2,31,48.817399,1.9476363
"United States of America","Pompton Lakes",57,1,30,8,57,41.0053413,-74.2905713
"Colombia","Ponedera",95,2,11,5,95,10.6396006,-74.7501675
"Italy","Pordenone",62,1,38,3,62,45.9562503,12.6597197
"United States of America","Port Washington",68,1,22,16,68,40.8257072,-73.6958069
"China","Xunchang",156,7,44,17,156,28.4534812,104.7102464
"United States of America","Yauco",82,0,22,0,82,18.0352547,-66.8487055
"Russian Federation","Yefremov",50,1,30,0,50,53.141834,38.116188
"Russian Federation","Yeniseysk",27,1,27,0,17,58.4532212,92.1748169
"China","Yingko",141,3,141,1,114,NA,NA
"Poland","Zlotow",30,1,30,1,30,53.3631938,17.034694
"Russian Federation","Vladimir",30,1,30,2,28,56.1288899,40.4075203
"Russian Federation","Voronezh",52,1,28,3,52,51.6605982,39.2005858
"Russian Federation","Voskresensk",40,1,35,5,40,55.322518,38.6816824
"Netherlands","Waalre",28,0,28,2,28,51.3856734,5.4661157
"United States of America","Wadsworth",51,1,41,2,51,41.0256101,-81.7298519
"United States of America","Wakefield",50,1,36,4,50,42.506484,-71.0728306
"Germany","Weil Der Stadt",34,1,27,2,34,48.7501041,8.8707147
"Netherlands","Woensdrecht",32,0,32,2,28,51.4106688,4.327761
"United Kingdom of Great Britain and Northern Ireland","Kirkintilloch",37,1,37,1,37,55.9383914,-4.1549049
"Hungary","Kisvarda",62,1,55,0,62,48.2257593,22.0784247
"India","Kolaras",164,3,79,2,164,25.2232473,77.6181948
"Uganda","Kotido",45,1,19,0,45,3.008143,34.115341
"Germany","Kronshagen",42,1,42,0,26,54.3316362,10.0850663
"South Africa","Kroonstad",88,2,19,4,88,-27.6532701,27.235515
"Belgium","Kruibeke",47,1,38,2,47,51.1712275,4.3091107
"India","Kunda",179,4,95,6,179,25.7551051,81.5810293
"United States of America","Lake Station",62,1,35,4,62,41.5750369,-87.2389246
"India","Lakhnadon",160,3,45,2,160,22.6011662,79.609125
"Indonesia","Lembang",194,9,12,26,194,-7.1177409,107.8550206
"Botswana","Letlhakane",29,0,29,0,22,-21.4219913,25.5880424
"United States of America","Levittown",118,0,29,0,118,40.7259621,-73.5144766
"Latvia","Livani",34,1,34,0,22,56.3531859,26.177657
"Philippines","Lucban",74,2,22,6,74,14.114401,121.55486
"Ecuador","Machachi",22,1,13,1,22,-0.5122167,-78.5661021
"Japan","Imabari",37,1,37,4,34,34.0658182,132.9976758
"Kenya","Isiolo",52,1,20,0,52,0.35,37.583303
"Brazil","Itapage",40,0,19,1,40,NA,NA
"Zambia","Kabwe",27,1,19,0,27,-14.4434056,28.4465166
"Egypt","Gizeh",94,2,66,7,94,29.9870753,31.2118063
"Japan","Gosen",37,1,37,2,14,37.7444474,139.1826005
"United States of America","Graham",51,1,41,3,51,36.0690258,-79.4005756
"Mexico","Guamuchil",79,1,22,2,79,25.4575492,-108.0755437
"Spain","Guimar",41,0,41,0,14,28.3150189,-16.4099501
"Canada","Hauterive",26,1,22,0,26,49.1929593,-68.2570763
"Russian Federation","Heihe",36,1,36,0,28,NA,NA
"India","Hinjilikatu",102,2,46,1,102,NA,NA
"Japan","Hirakata",50,1,48,2,50,34.818215,135.659225
"Brazil","Paranaiba",14,1,7,0,14,-19.6751971,-51.1874986
"United States of America","Pearl River",74,2,17,19,74,41.0586333,-74.0218967
"Portugal","Perafita",28,1,28,3,20,41.2238494,-8.6968605
"France","Perpignan",40,1,33,2,40,42.6985304,2.8953121
"Italy","Omegna",49,1,33,1,49,45.879774,8.408022
"United States of America","Oshkosh",44,1,28,4,44,44.0206919,-88.5408574
"Croatia","Osijek",62,1,44,1,62,45.5548793,18.6953685
"Italy","Paceco",68,1,47,0,68,37.9812974,12.5573091
"India","Omalur",45,1,33,1,45,11.7428538,78.0472667
"United States of America","Palm Beach Gardens",79,2,19,9,79,26.8233946,-80.1386547
"South Africa","Burgersdorp",95,1,8,11,95,-30.992222,26.324722
"Brazil","Capao Bonito",17,1,7,1,17,-24.0048759,-48.3489848
"United States of America","Cape Coral",48,1,20,6,48,26.5625742,-81.9438802
"Italy","Castel Volturno",54,1,48,1,54,41.034313,13.9408351
"Mexico","Chalco",270,5,1,25,270,19.2612215,-98.8958362
"India","Baldeo",172,4,171,1,172,27.4070522,77.8222989
"India","Basmat",109,1,36,0,109,19.3267094,77.1575267
"Cuba","Bayamo",78,1,15,5,78,20.3734145,-76.6494244
"India","Bharthana",170,4,169,1,170,26.7542,79.2249
"Dominican Republic","Bonao",159,3,5,11,159,18.9417804,-70.4112889
"Germany","Bretten",70,1,36,2,70,49.0366265,8.7068077
"Italy","Altopascio",56,1,38,4,56,43.8150413,10.6743961
"Benin","Aplahoue",86,2,14,2,86,6.9396098,1.6751946
"France","Auxerre",50,1,30,2,50,47.7961287,3.570579
"United States of America","Avenel",60,2,25,13,60,40.5765027,-74.2749836
"India","Ayakudi",29,0,25,0,29,10.4565308,77.5599146
"Germany","Bad Reichenhall",66,1,33,1,66,47.7222676,12.8760923
"Russian Federation","Kugesi",60,1,33,0,60,56.0315502,47.2987956
"Slovakia","Kysucke Nove Mesto",64,1,40,0,64,49.2999184,18.7865084
"Mexico","La Ceiba",108,4,5,10,108,23.1001534,-82.4113899
"Venezuela (Bolivarian Republic of)","La Dolorita",130,1,16,7,130,NA,NA
"France","La Possession",43,0,28,0,43,-20.9269658,55.3362758
"Japan","Kobe",28,1,28,4,24,34.6932379,135.1943764
"South Africa","Kokstad",125,4,9,2,125,-30.5475,29.424444
"Russian Federation","Konakovo",46,1,27,1,46,56.7131572,36.7775654
"Russian Federation","Kondrovo",36,1,30,0,36,54.8069199,35.9301213
"Japan","Kosugi",60,1,51,2,60,36.7144161,137.101697
"United States of America","Schertz",52,1,15,4,52,29.5641617,-98.2695702
"Brazil","Serra",53,1,14,2,53,-20.1252961,-40.3064477
"Pakistan","Shahpur Chakar",166,1,43,0,166,26.1549688,68.6481209
"India","Dhrol",160,0,29,0,160,22.5675674,70.4164394
"Israel","Dimona",73,1,57,1,73,31.0686612,35.0366482
"France","Douai",50,1,24,4,50,50.3675677,3.0804641
"Germany","Duisburg",42,1,29,3,42,51.434999,6.759562
"United States of America","Eagle",43,1,7,11,43,43.6954424,-116.3540138
"United States of America","East Moline",40,1,29,5,40,41.5152157,-90.4420411
"Germany","Eckernforde",32,0,32,0,31,54.4716456,9.8374947
"United States of America","Effingham",44,1,44,3,44,39.1201433,-88.54348
"Australia","Maryborough",31,0,31,0,10,-25.537583,152.7019182
"United Republic of Tanzania","Mazinde",26,0,16,0,26,-4.8065793,38.2103091
"Romania","Medias",62,1,38,1,62,46.1625212,24.3473855
"Spain","Melilla",32,1,32,1,26,35.2919028,-2.9407146
"China","Miyang",26,1,26,0,21,24.404831,103.435057
"Cuba","Moa",56,1,30,1,56,20.6559593,-74.9430494
"Zambia","Mongu",43,1,19,0,43,-15.2668751,23.1365365
"Colombia","Montelibano",53,2,7,3,53,7.9800534,-75.4167198
"Germany","Muhlheim",52,1,27,3,52,48.0248356,8.8894883
"United States of America","Nacogdoches",39,1,20,2,39,31.6037322,-94.6559702
"Denmark","Nakskov",34,0,34,0,33,54.8304979,11.1493517
"Germany","Neu Wulmstorf",34,0,34,1,31,53.4682413,9.7916569
"Italy","Nocera Inferiore",50,2,40,7,50,40.7472133,14.6433202
"Papua New Guinea","Lae",18,0,18,0,11,-6.7301976,147.0008109
"Cyprus","Lemesos",58,1,58,0,51,34.6852901,33.0332657
"Russian Federation","Leninkent",49,1,38,0,49,42.9708612,47.3607531
"Russian Federation","Leninsk Kuznetskiy",36,1,36,0,28,NA,NA
"United Kingdom of Great Britain and Northern Ireland","Letchworth",51,1,31,3,51,51.9794982,-0.2294613
"France","Lille",48,1,27,4,48,50.6365654,3.0635282
"China","Linkou",55,1,45,0,55,45.2900691,130.2669756
"Romania","Lipova",69,1,39,1,69,46.0912516,21.6935996
"United States of America","Little Falls",73,2,14,21,73,45.9763545,-94.3625024
"France","Longwy",51,1,29,3,51,49.5145564,5.7679082
"India","Loyabad",179,4,150,2,179,23.7851288,86.3537139
"China","Macheng",171,3,171,2,103,31.3198572,115.1108647
"Ireland","Malahide",29,0,29,1,18,53.4508401,-6.15367
"India","Manwath",122,1,34,0,122,NA,NA
"Tunisia","Manzil Jamil",56,1,54,1,56,NA,NA
"Argentina","Mar Del Plata",41,0,30,0,41,-37.9976168,-57.5482079
"United Republic of Tanzania","Ilongero",19,0,15,0,19,-4.66857,34.871984
"Brazil","Ipaba",52,1,7,3,52,-19.411389,-42.42
"United States of America","Irving",68,1,16,6,68,32.8295183,-96.9442177
"Italy","Isola Della Scala",124,2,32,7,124,45.2731049,11.0068888
"Nepal","Itahari",58,2,40,0,58,26.6622505,87.2748964
"Mexico","Jalostotitlan",36,1,12,2,36,21.1655843,-102.4675497
"India","Karera",201,1,44,0,201,25.4515559,78.1411242
"India","Kasba",75,2,71,1,75,22.5044355,88.3721663
"Malawi","Kasungu",47,1,18,0,47,-13.0395452,33.4784085
"Poland","Kobylka",47,1,38,1,47,52.3387086,21.1965315
"United States of America","Jefferson",50,1,26,11,50,32.7573626,-94.3451926
"France","Juvisy Sur Orge",58,1,19,6,58,48.6904063,2.373809
"India","Visnagar",159,1,32,0,159,23.6978037,72.5507598
"Germany","Walldorf",72,1,37,2,72,49.3038134,8.6433518
"Germany","Weilburg",75,2,22,9,75,50.4847448,8.2659245
"United States of America","Wilbraham",55,1,23,9,55,42.1223378,-72.4313151
"United States of America","Wilsonville",62,2,11,16,62,45.3099218,-122.76816
"Germany","Wittmund",46,1,25,4,46,53.5792685,7.7815477
"Germany","Wolfen",66,1,36,3,66,51.6666826,12.2591885
"China","Xingcheng",128,4,69,3,128,40.6203363,120.7112158
"Russian Federation","Yakhroma",52,1,24,3,52,56.289936,37.4838441
"Ukraine","Yalta",46,1,46,0,7,44.4970713,34.1586871
"Brazil","Rosario Oeste",42,2,1,2,42,-14.825938,-56.42357
"Serbia","Ruma",76,1,40,3,76,45.0078322,19.8187834
"Poland","Rybnik",102,2,26,11,102,50.0955793,18.5419933
"Canada","Saint Jerome",50,1,16,5,50,45.7780402,-74.0033272
"Brazil","Santo Antonio De Padua",61,2,0,5,61,-21.539,-42.1816
"Brazil","Sao Miguel Do Iguacu",21,1,13,0,21,-25.349171,-54.240498
"Brazil","Sao Sebastiao",66,2,7,7,66,-23.8027866,-45.4070527
"India","Savanur",50,0,23,0,50,12.7363816,75.3145369
"United States of America","Selden",52,2,16,20,52,40.8664874,-73.0356625
"India","Shahjahanpur",172,4,172,2,165,27.8827491,79.9109575
"Poland","Otwock",53,1,38,2,53,52.1041197,21.2681092
"United States of America","Pascagoula",52,0,29,2,52,30.3646795,-88.5585995
"Brazil","Paulo Afonso",23,0,11,1,23,-9.3991006,-38.226711
"Canada","Penticton",28,1,28,2,20,49.5003268,-119.593249
"Russian Federation","Penza",36,1,30,1,36,53.1937836,45.0067413
"Bangladesh","Phultala",158,4,64,4,158,22.9735528,89.4745659
"Colombia","Puerto Lopez",58,2,0,4,58,4.0891674,-72.9605902
"Poland","Raciborz",97,2,26,9,97,50.0917343,18.2196766
"China","Shizilu",205,5,205,3,152,33.1387,114.658
"Colombia","Sogamoso",24,1,6,2,24,5.7148307,-72.9279328
"Thailand","Sungai Padi",73,1,33,0,73,NA,NA
"Poland","Szczecinek",33,0,33,0,33,53.708021,16.6943922
"Philippines","Talibon",71,1,19,0,71,10.1508006,124.3269236
"India","Tarn Taran",143,2,143,1,142,31.4555254,74.9269621
"United States of America","Tarrytown",69,2,14,21,69,41.0762077,-73.8587461
"United States of America","North Chicago",64,2,16,27,64,42.327724,-87.8394189
"United Republic of Tanzania","Nyamuswa",40,1,17,0,40,-1.9022773,34.0202723
"Italy","Oderzo",92,1,35,4,92,45.7833709,12.4937783
"Latvia","Ogre",55,1,32,1,55,56.8192045,24.6074393
"Russian Federation","Starodub",37,1,37,0,15,52.584446,32.760098
"United States of America","Sugar Land",35,1,18,5,35,29.6196787,-95.6349463
"Russian Federation","Yaroslavl",34,1,34,0,13,57.6263877,39.8933705
"Afghanistan","Zaranj",133,1,46,0,133,30.954754,61.859475
"Russian Federation","Zavitinsk",99,2,43,0,99,50.111154,129.4402341
"Ukraine","Zhovti Vody",44,1,44,0,24,48.3465174,33.5027797
"India","Addanki",69,1,29,0,69,15.8110285,79.9737896
"Turkey","Afyonkarahisar",75,1,36,0,75,38.7568597,30.5387044
"Malawi","Salima",62,1,19,0,62,-13.7766347,34.4482507
"United States of America","Oneonta",48,1,21,3,48,42.453492,-75.0629531
"United States of America","Paramus",112,3,6,33,112,40.9452911,-74.0735899
"Russian Federation","Pechory",36,1,36,0,35,57.813305,27.608185
"Montenegro","Pljevlja",60,1,21,0,60,43.3565611,19.3584715
"Brazil","Ponta Pora",19,1,11,0,19,-22.5286917,-55.723426
"Brazil","Pontes E Lacerda",29,1,3,0,29,-15.2315171,-59.3349512
"Canada","Port Alberni",34,1,34,1,14,49.2343668,-124.8056517
"Myanmar","Pyu",42,0,22,0,42,18.483333,96.433333
"Central African Republic","Rafai",65,3,10,0,65,4.9712472,23.9320764
"India","Ranavav",106,0,24,0,106,21.6855115,69.7442621
"Lithuania","Raseiniai",31,1,28,1,31,55.377973,23.1171369
"United States of America","Reisterstown",62,1,45,4,62,39.4695489,-76.8294213
"United States of America","Sammamish",34,1,32,4,34,47.6017554,-122.0416844
"United States of America","Seatac",52,1,27,7,52,47.4449086,-122.283084
"Sierra Leone","Segbwema",18,1,18,0,16,7.996736,-10.949571
"Malaysia","Serendah",162,6,9,23,162,3.3651433,101.6033076
"Russian Federation","Seversk",53,1,7,8,53,56.603161,84.881012
"Russian Federation","Shchigry",40,1,40,0,11,51.870821,36.9131896
"Netherlands","Amstelveen",32,0,32,2,15,52.3028209,4.8596844
"Netherlands","Anna Paulowna",35,0,35,0,13,52.860219,4.8245885
"Philippines","Apalit",60,1,24,1,60,14.9494832,120.7588083
"Russian Federation","Losino Petrovskiy",66,1,18,12,66,NA,NA
"United States of America","Lowell",52,1,29,6,52,42.6414437,-71.3085329
"India","Ludhiana",166,3,166,1,162,30.9090157,75.851601
"Kenya","Marsabit",27,0,19,0,27,2.3380612,37.991639
"United Republic of Tanzania","Matongo",43,1,15,0,43,-5.1900363,34.7091784
"Senegal","Mbour",169,1,21,2,169,14.4385618,-16.2941072
"Indonesia","Mendahara",76,2,37,0,76,-0.9576928,103.6773423
"Belarus","Lida",34,1,34,0,21,53.891636,25.3022894
"India","Madanapalle",25,0,25,0,21,13.5557979,78.500872
"Philippines","Magallon",45,1,17,0,45,6.9503998,124.9258948
"Mali","Sikasso",53,1,14,0,53,11.3165531,-5.6777526
"Slovenia","Skofja Loka",67,1,37,1,67,46.165274,14.3067474
"United States of America","Stephenville",40,1,24,1,40,32.2191836,-98.2130634
"Indonesia","Subang",88,2,86,1,88,-6.5689807,107.7587397
"Poland","Sulecin",55,1,36,1,55,52.4413768,15.1161501
"Czechia","Podebrady",36,1,28,2,36,50.1430072,15.1191453
"Indonesia","Pangkah",91,2,46,1,91,-6.9762234,109.1698846
"Guatemala","Pastores",129,4,2,14,129,14.5932947,-90.7551221
"Russian Federation","Peschanokopskoye",40,1,40,0,25,46.184349,41.084557
"United Republic of Tanzania","Usagara",51,1,18,0,51,-2.6804989,32.9935384
"France","Ussel",56,1,35,0,56,45.545591,2.3119397
"Netherlands","Valkenburg",63,1,28,6,63,50.8647531,5.8312518
"Latvia","Valmiera",32,1,32,0,28,57.5389148,25.4261688
"India","Vasai",158,3,28,3,158,19.3428238,72.805441
"Russian Federation","Vasyurinskaya",37,1,37,1,22,45.1183262,39.4200463
"United States of America","Vermillion",44,1,34,3,44,42.7795273,-96.929101
"United States of America","Sunrise Manor",57,2,13,17,57,36.1972977,-115.0452917
"Indonesia","Surakarta",69,1,41,1,69,-7.5692489,110.828448
"Russian Federation","Suzun",42,1,42,0,33,53.783924,82.316231
"India","Talgram",167,4,153,1,167,25.4276755,87.8010392
"Russian Federation","Talovaya",40,1,36,0,40,51.11541,40.728123
"United States of America","San Juan Capistrano",55,1,28,9,55,33.5016932,-117.6625509
"Brazil","Santana Do Acarau",35,0,8,2,35,-3.4596492,-40.2090987
"Brazil","Sao Joao Batista",25,0,20,1,25,-27.277547,-48.8496101
"India","Vikramasingapuram",54,1,27,0,54,8.7141792,77.3892867
"France","Villeneuve Loubet",38,1,38,2,33,43.6579947,7.1217592
"India","Virudunagar",33,1,30,0,33,NA,NA
"South Africa","Volksrust",85,2,14,8,85,-27.3627778,29.8825
"China","Wanxian",153,4,153,3,143,30.8101669,108.4034084
"Mexico","San Antonio De La Cal",69,2,6,7,69,17.028333,-96.700556
"Italy","San Severo",46,1,46,1,35,41.6897761,15.3776211
"India","Sangod",156,1,45,0,156,24.9251835,76.2861027
"Brazil","Santa Cecilia",17,0,17,0,15,-26.9658952,-50.4182571
"Germany","Schorndorf",28,1,28,2,26,48.8055169,9.5272665
"Turkey","Selcuk",49,1,49,2,36,38.433365,30.301647
"Belgium","Seraing",35,1,32,3,35,50.6152381,5.5089437
"Germany","Nordhausen",36,1,36,1,32,51.5051574,10.7925317
"France","Olivet",38,1,23,2,38,47.8650984,1.9015752
"Brazil","Osvaldo Cruz",41,1,13,1,41,-21.7962773,-50.879119
"Czechia","Varnsdorf",30,0,28,2,30,50.9124244,14.6194058
"India","Vattalkundu",50,1,25,0,50,NA,NA
"Canada","Trois Rivieres",32,1,31,1,32,46.3432325,-72.5428485
"Russian Federation","Tyazhinskiy",51,1,40,0,51,56.1139351,88.5171814
"Brazil","Uba",51,1,4,4,51,-21.12,-42.942777
"Brazil","Uberlandia",39,1,11,1,39,-18.9188041,-48.2767837
"Czechia","Uhersky Brod",46,1,30,1,46,49.0253139,17.6464437
"Germany","Werneck",31,1,31,1,26,49.981604,10.1001527
"United States of America","Westlake",43,1,32,8,43,32.991226,-97.1943701
"Mexico","Xoxtla",164,2,3,12,164,19.169167,-98.308889
"Libya","Yafran",69,1,69,1,66,32.0633249,12.5271413
"France","Villemomble",51,1,21,5,51,48.881886,2.5076181
"United States of America","Waipahu",31,0,25,1,31,21.3866667,-158.009166
"Japan","Wako",49,1,36,4,49,35.7817053,139.6058692
"United States of America","Lindenhurst",78,3,1,28,78,40.6867667,-73.3734547
"United Republic of Tanzania","Liwale",40,0,17,0,40,-9.8021605,37.9157087
"United States of America","Lorain",43,1,29,8,43,41.4673238,-82.1781904
"Russian Federation","Magadan",28,0,28,0,15,59.5604768,150.7988617
"Madagascar","Mahajanga",25,0,25,0,18,-15.7181492,46.3172577
"Japan","Makabe",42,1,42,1,38,34.6687377,133.7680001
"Guinea","Mamou",32,1,16,0,32,10.374074,-12.08356
"China","Laibin",101,2,101,2,79,23.7532648,109.2169807
"United States of America","Lake Charles",64,1,15,10,64,30.2305095,-93.2169807
"United States of America","Leander",46,1,21,2,46,30.5736134,-97.8567339
"Germany","Lengerich",35,1,35,2,24,52.1887731,7.8508691
"Republic of Moldova","Leova",55,1,41,0,55,46.480626,28.256329
"Kenya","Kilifi",57,1,25,0,57,-3.6333,39.85
"Kenya","Kitale",55,2,31,0,55,1.018076,35.000236
"Poland","Krosno Odrzanskie",31,0,31,1,30,52.0536361,15.0980258
"Russian Federation","Kyshtym",38,1,34,0,38,55.7099215,60.5511275
"Brazil","Lagoa Formosa",40,1,1,4,40,-18.7741896,-46.4082511
"India","Kampli",87,0,28,0,87,15.4061695,76.604451
"Japan","Kannabe",38,1,38,2,31,34.5858284,135.4709805
"Russian Federation","Kavalerovo",29,0,29,0,23,44.2673637,135.0554977
"South Africa","Johannesburg",121,19,19,13,121,-26.205,28.049722
"Central African Republic","Kabo",86,2,9,0,86,7.6920799,18.6243422
"Japan","Kameda",39,1,39,0,18,37.883335,139.097825
"Pakistan","Ranipur",167,1,47,1,167,27.287029,68.50438
"Thailand","Roi Et",47,0,30,0,47,16.0568089,103.6514286
"Italy","Ronchi Dei Legionari",57,1,42,2,57,45.8278081,13.5018454
"Portugal","Sao Joao Da Madeira",27,0,27,2,22,40.9020813,-8.4896358
"Nigeria","Shaki",66,2,21,0,66,9.35,6.8
"China","Shangqiu",132,2,132,2,78,34.4168215,115.6507447
"United States of America","Shawnee",95,1,23,10,95,35.3272928,-96.9253004
"Thailand","Pak Kret",57,1,27,1,57,13.9120701,100.4974327
"Pakistan","Pakpattan",328,2,107,1,328,30.3422503,73.3891875
"Brazil","Parati",62,2,8,5,62,-23.2196461,-44.7154196
"Russian Federation","Pavlovsk",36,1,36,0,23,50.4520214,40.1399663
"United Kingdom of Great Britain and Northern Ireland","Peterhead",32,0,32,2,22,57.5052909,-1.7813194
"Indonesia","Ponorogo",42,1,26,0,42,-7.8710975,111.4623017
"United States of America","Portage",47,1,36,4,47,42.2011538,-85.5800022
"United States of America","Pueblo",91,1,31,2,91,38.263995,-104.6141867
"United States of America","Solon",45,1,45,3,34,41.8072344,-91.4940604
"United States of America","South San Jose Hills",118,4,12,34,118,34.0127895,-117.9047845
"Romania","Sovata",63,1,40,0,63,46.5971683,25.07328
"Switzerland","Steffisburg",80,1,33,1,80,46.7774738,7.6354195
"United States of America","Stillwater",50,1,39,3,50,45.0564041,-92.8134982
"Jordan","Suf",78,1,48,3,78,32.3133303,35.8386891
"Pakistan","Sukkur",171,1,49,1,171,27.6961883,68.8588754
"Sweden","Sundsvall",38,1,28,0,38,62.3907552,17.3071024
"Canada","Swift Current",32,1,32,0,16,50.2849138,-107.7984496
"Brazil","Tabuleiro Do Norte",23,0,16,0,23,-5.2440865,-38.1284605
"Peru","Tambopata",20,1,2,0,20,-12.187271,-69.8479162
"Indonesia","Tanjung Morawa",72,2,42,0,72,3.5173404,98.7926727
"Georgia","Tbilisi",36,1,35,0,36,41.6934591,44.8014495
"United States of America","Temple City",119,4,15,35,119,34.1082994,-118.0577568
"India","Thoubal",23,1,20,0,23,24.6386954,93.996871
"Netherlands","Tilburg",37,1,31,2,37,51.5856184,5.0660616
"India","Titlagarh",158,1,33,1,158,20.288849,83.1552029
"Mexico","Tizayuca",182,2,18,10,182,19.841245,-98.9815648
"India","Tohana",226,2,126,1,226,29.7107922,75.9042326
"Slovakia","Trebisov",71,1,37,1,71,48.6286222,21.7201711
"Democratic Republic of the Congo","Tshela",70,1,22,0,70,-5.0093031,12.9602161
"Georgia","Tskaltubo",32,1,32,0,21,42.3253518,42.5979488
"Austria","Tulln",63,1,40,1,63,48.3311702,16.05179
"Turkmenistan","Turkmenabat",60,1,47,0,60,39.0733839,63.5831564
"Germany","Twistringen",35,0,35,0,33,52.7992604,8.6421452
"Russian Federation","Uglegorsk",25,1,25,2,23,49.079296,142.0633622
"South Africa","Uitenhage",100,4,8,7,100,-33.7678979,25.3978174
"India","Umred",170,1,33,1,170,20.8473369,79.3247598
"Pakistan","Usta Muhammad",172,1,76,2,172,28.17744,68.0434753
"Poland","Ustron",79,1,36,3,79,49.7181505,18.8028338
"United States of America","Uvalde",57,1,30,1,57,29.2098024,-99.7859936
"India","Vallam",57,1,30,0,57,10.7188244,79.0613163
"United States of America","Ventnor City",36,1,36,1,27,39.3405045,-74.4773916
"China","Shima",155,3,155,3,117,28.9862429,105.9270529
"Serbia","Sjenica",54,1,30,0,54,43.2729348,19.9991727
"Belgium","Soignies",49,1,24,5,49,50.579203,4.0685604
"Colombia","Miranda",52,1,6,3,52,3.2511475,-76.2291572
"Colombia","Mompos",54,1,18,1,54,9.2415432,-74.4251072
"Germany","Montabaur",33,1,33,2,29,50.4362219,7.8302494
"Italy","Montegranaro",46,1,46,1,37,43.2324893,13.6315761
"France","Montigny Les Metz",34,1,20,4,34,49.0999832,6.153041
"Spain","Montornes Del Valles",52,1,33,6,52,41.542545,2.2670557
"United States of America","Mount Kisco",56,1,46,4,56,41.2042616,-73.7270761
"United States of America","Muskegon",53,2,15,21,53,43.2341813,-86.2483921
"United States of America","Martinez",51,1,22,10,51,38.0138934,-122.1338674
"Mexico","Matehuala",29,1,19,0,29,23.646485,-100.643544
"Myanmar","Meiktila",31,1,27,0,31,20.8814233,95.8619463
"India","Melur",63,1,35,0,63,10.0309005,78.337589
"India","Methala",66,1,26,0,66,10.2166,76.21662
"Germany","Marktoberdorf",76,1,32,3,76,47.7780871,10.6188796
"Brazil","Martinopolis",33,1,13,1,33,-22.146153,-51.170949
"Germany","Melsungen",46,1,26,3,46,51.1425944,9.5833158
"Germany","Mering",64,1,34,1,64,48.2678312,10.9868769
"Mozambique","Mocuba",23,0,23,0,19,-16.839215,36.985642
"Brazil","Montenegro",71,2,7,7,71,-29.6826112,-51.4687455
"Germany","Murnau",76,1,31,3,76,47.6778816,11.2011903
"Australia","Murray Bridge",31,0,28,0,31,-35.1309451,139.2651638
"Ecuador","Naranjal",39,1,16,3,39,-2.6742118,-79.6174687
"Botswana","Kanye",59,1,20,1,59,-24.9766112,25.3358859
"India","Keshod",160,0,25,0,160,21.30113,70.2524024
"India","Kharar",142,2,142,1,119,30.7488437,76.6428994
"United States of America","North Plainfield",66,2,15,20,66,40.6208476,-74.4279801
"United States of America","North Wantagh",60,2,19,18,60,40.693877,-73.51636
"Hungary","Nyirbator",65,1,38,1,65,47.839511,22.1322309
"United States of America","Mercer Island",56,2,18,15,56,47.5766324,-122.2276378
"Germany","Hilpoltstein",28,0,28,1,27,49.188964,11.1892243
"Australia","Hobart",48,0,24,1,48,-42.8825088,147.3281233
"Germany","Hohenstein Ernstthal",33,1,33,1,30,50.8021139,12.7072907
"United States of America","Holtsville",82,2,42,10,82,40.8153762,-73.0451085
"United Republic of Tanzania","Ilula",18,0,18,0,17,-7.6773807,36.0388429
"India","Indri",500,1,47,1,500,22.2902461,80.959154
"Australia","Innisfail",26,0,25,0,26,-17.5241605,146.0311385
"Central African Republic","Ippy",69,2,8,0,69,6.2605641,21.2000369
"United States of America","Irmo",68,1,23,4,68,34.0884688,-81.1802101
"Spain","Irun",37,0,37,0,21,43.3383176,-1.7888095
"Mexico","Jaral Del Progreso",43,1,13,4,43,20.3716964,-101.065096
"Belgium","Grobbendonk",38,1,30,3,38,51.1919904,4.7385027
"Russian Federation","Gryazovets",34,1,34,0,8,58.8841692,40.2515006
"France","Guebwiller",32,1,31,1,32,47.9094629,7.2113271
"Germany","Haigerloch",30,0,30,1,28,48.3675198,8.7985138
"Hungary","Hajduboszormeny",55,1,34,1,55,47.6716617,21.5078944
"United Kingdom of Great Britain and Northern Ireland","Havant",41,0,27,3,41,50.8519351,-0.9821263
"United States of America","Haverhill",52,1,45,3,52,42.7777829,-71.0767724
"United States of America","Herndon",59,1,41,5,59,38.9695316,-77.3859479
"United States of America","Hickory",68,2,18,11,68,35.7333312,-81.3442915
